Time,Gx,Gy,Gz
36.49,18.88,9.14,2.06
36.56,6.78,-2.95,3.48
36.63,7.1,4.5,3.14
36.7,10.15,2.23,4.27
36.76,7.12,4.88,0.95
36.83,4.22,2.44,2.82
36.91,1.12,3.4,-1.31
37.0,-4.03,-2.84,4.82
37.08,-24.17,-8.77,7.21
37.15,-53.4,-12.55,13.99
37.22,-83.41,-33.53,33.15
37.29,-83.63,-26.79,22.09
37.36,-75.35,-12.04,7.94
37.43,-92.55,12.59,-10.37
37.51,-102.93,10.16,-1.61
37.6,-104.42,-12.23,-1.17
37.68,-91.38,-23.05,0.83
37.75,-80.38,-18.06,3.81
37.82,-77.43,8.28,-2.01
37.9,-62.93,-9.43,15.5
37.98,-26.1,-18.16,3.18
38.07,-45.91,-0.44,-2.83
38.15,-48.77,1.12,-10.25
38.22,-42.61,-2.0,1.33
38.3,-1.75,-2.21,-9.27
38.38,-1.85,-4.18,-11.06
38.46,1.81,0.14,-8.13
38.52,4.47,0.87,-0.06
38.62,5.0,3.97,-1.27
38.71,6.18,0.97,0.02
38.78,3.2,-1.45,0.63
38.85,9.09,2.39,4.52
38.92,7.41,0.43,-1.66
38.99,8.0,1.79,0.03
39.06,5.79,2.2,1.12
39.12,7.91,2.09,5.0
39.19,5.1,-0.97,2.07
39.25,3.38,-2.9,3.09
39.32,8.55,2.4,2.81
39.38,20.93,8.04,3.09
39.45,38.22,6.4,-7.25
39.52,71.77,9.46,-13.45
39.58,69.13,7.33,0.35
39.65,51.23,2.72,-14.09
39.71,63.44,11.65,-24.63
39.78,75.56,19.74,-19.47
39.85,84.3,21.32,-17.2
39.91,108.33,23.05,-8.21
39.98,110.06,25.85,6.67
40.05,90.08,18.87,13.41
40.11,91.7,10.48,10.45
40.18,114.97,12.3,-2.89
40.25,87.53,4.74,12.88
40.31,75.54,-5.34,13.38
40.38,77.97,-16.67,-1.21
40.45,79.87,0.74,6.4
40.51,78.05,7.76,5.02
40.58,83.18,2.04,1.47
40.65,77.35,0.81,0.21
40.72,55.76,-0.69,0.61
40.8,57.99,10.66,1.68
